Frame | BF_l1_p1.x | BF_l1_vel.x | BF_l2_p1.x | BF_l2_vel.x | BF_res | QT_l1_p1.x | QT_l1_vel.x | QT_l2_p1.x | QT_l2_vel.x | QT_res | Diverged | Missing
   35 | 0.5877118644 | -0.0021186441 | 0.5851694915 | -0.0021186441 | 0      | 0.5877118644 | -0.0021186441 | 0.5851694915 | -0.0021186441 | 0      | NO        | NO
   36 | 0.5866525424 | -0.0021186441 | 0.5841101695 | -0.0021186441 | 0      | 0.5866525424 | -0.0021186441 | 0.5841101695 | -0.0021186441 | 0      | NO        | NO
   37 | 0.5855932203 | -0.0021186441 | 0.5830508475 | -0.0021186441 | 0      | 0.5855932203 | -0.0021186441 | 0.5830508475 | -0.0021186441 | 0      | NO        | NO
   38 | 0.5845338983 | -0.0021186441 | 0.5819915254 | -0.0021186441 | 0      | 0.5845338983 | -0.0021186441 | 0.5819915254 | -0.0021186441 | 0      | NO        | NO
   39 | 0.5834745763 | -0.0021186441 | 0.5809322034 | -0.0021186441 | 0      | 0.5834745763 | -0.0021186441 | 0.5809322034 | -0.0021186441 | 0      | NO        | NO
   40 | 0.5824152542 | -0.0021186441 | 0.5798728814 | -0.0021186441 | 0      | 0.5824152542 | -0.0021186441 | 0.5798728814 | -0.0021186441 | 0      | NO        | NO
   41 | 0.5813559322 | -0.0021186441 | 0.5788135593 | -0.0021186441 | 0      | 0.5813559322 | -0.0021186441 | 0.5788135593 | -0.0021186441 | 0      | NO        | NO
   42 | (BF only - QT missing)
   43 | 0.5792372881 | -0.0021186441 | 0.5766949153 | -0.0021186441 | 0      | 0.5792372881 | -0.0021186441 | 0.5766949153 | -0.0021186441 | 0      | NO        | NO
   44 | 0.5781779661 | -0.0021186441 | 0.5756355932 | -0.0021186441 | 0      | 0.5781779661 | -0.0021186441 | 0.5756355932 | -0.0021186441 | 0      | NO        | NO
   45 | 0.5771186441 | -0.0021186441 | 0.5745762712 | -0.0021186441 | 0      | 0.5771186441 | -0.0021186441 | 0.5745762712 | -0.0021186441 | 0      | NO        | NO
   46 | 0.5760593220 | -0.0021186441 | 0.5735169492 | -0.0021186441 | 0      | 0.5760593220 | -0.0021186441 | 0.5735169492 | -0.0021186441 | 0      | NO        | NO
   47 | 0.5750000000 | -0.0021186441 | 0.5724576271 | -0.0021186441 | 0      | 0.5750000000 | -0.0021186441 | 0.5724576271 | -0.0021186441 | 0      | NO        | NO
   48 | 0.5739406780 | -0.0021186441 | 0.5713983051 | -0.0021186441 | 0      | 0.5739406780 | -0.0021186441 | 0.5713983051 | -0.0021186441 | 0      | NO        | NO
   49 | 0.5728813559 | -0.0021186441 | 0.5703389831 | -0.0021186441 | 0      | 0.5728813559 | -0.0021186441 | 0.5703389831 | -0.0021186441 | 0      | NO        | NO
   50 | 0.5718220339 | -0.0021186441 | 0.5692796610 | -0.0021186441 | 0      | 0.5718220339 | -0.0021186441 | 0.5692796610 | -0.0021186441 | 0      | NO        | NO
   51 | 0.5707627119 | -0.0021186441 | 0.5682203390 | -0.0021186441 | 0      | 0.5707627119 | -0.0021186441 | 0.5682203390 | -0.0021186441 | 0      | NO        | NO
   52 | 0.5697033898 | -0.0021186441 | 0.5671610169 | -0.0021186441 | 0      | 0.5697033898 | -0.0021186441 | 0.5671610169 | -0.0021186441 | 0      | NO        | NO
   53 | 0.5686440678 | -0.0021186441 | 0.5661016949 | -0.0021186441 | 0      | 0.5686440678 | -0.0021186441 | 0.5661016949 | -0.0021186441 | 0      | NO        | NO
   54 | 0.5675847458 | -0.0021186441 | 0.5650423729 | -0.0021186441 | 0      | 0.5675847458 | -0.0021186441 | 0.5650423729 | -0.0021186441 | 0      | NO        | NO
   55 | 0.5665254237 | -0.0021186441 | 0.5639830508 | -0.0021186441 | 0      | 0.5665254237 | -0.0021186441 | 0.5639830508 | -0.0021186441 | 0      | NO        | NO
   56 | 0.5654661017 | -0.0021186441 | 0.5629237288 | -0.0021186441 | 0      | 0.5654661017 | -0.0021186441 | 0.5629237288 | -0.0021186441 | 0      | NO        | NO
   57 | (BF only - QT missing)
   58 | 0.5633474576 | -0.0021186441 | 0.5608050847 | -0.0021186441 | 0      | 0.5633474576 | -0.0021186441 | 0.5608050847 | -0.0021186441 | 0      | NO        | NO
   59 | 0.5622881356 | -0.0021186441 | 0.5597457627 | -0.0021186441 | 0      | 0.5622881356 | -0.0021186441 | 0.5597457627 | -0.0021186441 | 0      | NO        | NO
   60 | 0.5612288136 | -0.0021186441 | 0.5586864407 | -0.0021186441 | 0      | 0.5612288136 | -0.0021186441 | 0.5586864407 | -0.0021186441 | 0      | NO        | NO
   61 | 0.5601694915 | -0.0021186441 | 0.5576271186 | -0.0021186441 | 0      | 0.5601694915 | -0.0021186441 | 0.5576271186 | -0.0021186441 | 0      | NO        | NO
   62 | 0.5591101695 | -0.0021186441 | 0.5565677966 | -0.0021186441 | 0      | 0.5591101695 | -0.0021186441 | 0.5565677966 | -0.0021186441 | 0      | NO        | NO
   63 | 0.5580508475 | -0.0021186441 | 0.5555084746 | -0.0021186441 | 0      | 0.5580508475 | -0.0021186441 | 0.5555084746 | -0.0021186441 | 0      | NO        | NO
   64 | 0.5569915254 | -0.0021186441 | 0.5544491525 | -0.0021186441 | 0      | 0.5569915254 | -0.0021186441 | 0.5544491525 | -0.0021186441 | 0      | NO        | NO
   65 | 0.5559322034 | -0.0021186441 | 0.5533898305 | -0.0021186441 | 0      | 0.5559322034 | -0.0021186441 | 0.5533898305 | -0.0021186441 | 0      | NO        | NO
   66 | 0.5548728814 | -0.0021186441 | 0.5523305085 | -0.0021186441 | 0      | 0.5548728814 | -0.0021186441 | 0.5523305085 | -0.0021186441 | 0      | NO        | NO
   67 | 0.5538135593 | -0.0021186441 | 0.5512711864 | -0.0021186441 | 0      | 0.5538135593 | -0.0021186441 | 0.5512711864 | -0.0021186441 | 0      | NO        | NO
   68 | 0.5527542373 | -0.0021186441 | 0.5502118644 | -0.0021186441 | 0      | 0.5527542373 | -0.0021186441 | 0.5502118644 | -0.0021186441 | 0      | NO        | NO
   69 | 0.5516949153 | -0.0021186441 | 0.5491525424 | -0.0021186441 | 0      | 0.5516949153 | -0.0021186441 | 0.5491525424 | -0.0021186441 | 0      | NO        | NO
   70 | 0.5506355932 | -0.0021186441 | 0.5480932203 | -0.0021186441 | 0      | 0.5506355932 | -0.0021186441 | 0.5480932203 | -0.0021186441 | 0      | NO        | NO
   71 | 0.5495762712 | -0.0021186441 | 0.5470338983 | -0.0021186441 | 0      | 0.5495762712 | -0.0021186441 | 0.5470338983 | -0.0021186441 | 0      | NO        | NO
   72 | (BF only - QT missing)
   73 | 0.5474576271 | -0.0021186441 | 0.5449152542 | -0.0021186441 | 0      | 0.5474576271 | -0.0021186441 | 0.5449152542 | -0.0021186441 | 0      | NO        | NO
   74 | 0.5463983051 | -0.0021186441 | 0.5438559322 | -0.0021186441 | 0      | 0.5463983051 | -0.0021186441 | 0.5438559322 | -0.0021186441 | 0      | NO        | NO
   75 | 0.5453389831 | -0.0021186441 | 0.5427966102 | -0.0021186441 | 0      | 0.5453389831 | -0.0021186441 | 0.5427966102 | -0.0021186441 | 0      | NO        | NO
   76 | 0.5442796610 | -0.0021186441 | 0.5417372881 | -0.0021186441 | 0      | 0.5442796610 | -0.0021186441 | 0.5417372881 | -0.0021186441 | 0      | NO        | NO
