Frame | BF_l1_p1.x | BF_l1_vel.x | BF_l2_p1.x | BF_l2_vel.x | BF_res | QT_l1_p1.x | QT_l1_vel.x | QT_l2_p1.x | QT_l2_vel.x | QT_res | Diverged
   36 | 0.5790254237 | -0.0021186441 | 0.5786016949 | -0.0021186441 |      0 | 0.5790254237 | -0.0021186441 | 0.5786016949 | -0.0021186441 |      0 | NO
   37 | 0.5779661017 | -0.0021186441 | 0.5775423729 | -0.0021186441 |      0 | 0.5779661017 | -0.0021186441 | 0.5775423729 | -0.0021186441 |      0 | NO
   38 | 0.5769067797 | -0.0021186441 | 0.5764830508 | -0.0021186441 |      0 | 0.5769067797 | -0.0021186441 | 0.5764830508 | -0.0021186441 |      0 | NO
   39 | 0.5758474576 | -0.0021186441 | 0.5754237288 | -0.0021186441 |      0 | 0.5758474576 | -0.0021186441 | 0.5754237288 | -0.0021186441 |      0 | NO
   40 | 0.5747881356 | -0.0021186441 | 0.5743644068 | -0.0021186441 |      0 | 0.5747881356 | -0.0021186441 | 0.5743644068 | -0.0021186441 |      0 | NO
   41 | 0.5737288136 | -0.0021186441 | 0.5733050847 | -0.0021186441 |      0 | 0.5737288136 | -0.0021186441 | 0.5733050847 | -0.0021186441 |      0 | NO
   42 | 0.5726694915 | -0.0021186441 | 0.5722457627 | -0.0021186441 |      0 | 0.5726694915 | -0.0021186441 | 0.5722457627 | -0.0021186441 |      0 | NO
   43 | 0.5716101695 | -0.0021186441 | 0.5711864407 | -0.0021186441 |      0 | 0.5716101695 | -0.0021186441 | 0.5711864407 | -0.0021186441 |      0 | NO
   44 | 0.5705508475 | -0.0021186441 | 0.5701271186 | -0.0021186441 |      0 | 0.5705508475 | -0.0021186441 | 0.5701271186 | -0.0021186441 |      0 | NO
   45 | 0.5694915254 | -0.0021186441 | 0.5690677966 | -0.0021186441 |      0 | 0.5694915254 | -0.0021186441 | 0.5690677966 | -0.0021186441 |      0 | NO
   46 | 0.5684322034 | -0.0021186441 | 0.5680084746 | -0.0021186441 |      0 | 0.5684322034 | -0.0021186441 | 0.5680084746 | -0.0021186441 |      0 | NO
   47 | 0.5673728814 | -0.0021186441 | 0.5669491525 | -0.0021186441 |      0 | 0.5673728814 | -0.0021186441 | 0.5669491525 | -0.0021186441 |      0 | NO
   48 | 0.5663135593 | -0.0021186441 | 0.5658898305 | -0.0021186441 |      0 | 0.5663135593 | -0.0021186441 | 0.5658898305 | -0.0021186441 |      0 | NO
   49 | 0.5652542373 | -0.0021186441 | 0.5648305085 | -0.0021186441 |      0 | 0.5652542373 | -0.0021186441 | 0.5648305085 | -0.0021186441 |      0 | NO
   50 | 0.5641949153 | -0.0021186441 | 0.5637711864 | -0.0021186441 |      0 | 0.5641949153 | -0.0021186441 | 0.5637711864 | -0.0021186441 |      0 | NO
   51 | 0.5631355932 | -0.0021186441 | 0.5627118644 | -0.0021186441 |      0 | 0.5631355932 | -0.0021186441 | 0.5627118644 | -0.0021186441 |      0 | NO
   52 | 0.5620762712 | -0.0021186441 | 0.5616525424 | -0.0021186441 |      0 | 0.5620762712 | -0.0021186441 | 0.5616525424 | -0.0021186441 |      0 | NO
   53 | 0.5610169492 | -0.0021186441 | 0.5605932203 | -0.0021186441 |      0 | 0.5610169492 | -0.0021186441 | 0.5605932203 | -0.0021186441 |      0 | NO
   54 | 0.5599576271 | -0.0021186441 | 0.5595338983 | -0.0021186441 |      0 | 0.5599576271 | -0.0021186441 | 0.5595338983 | -0.0021186441 |      0 | NO
   55 | 0.5588983051 | -0.0021186441 | 0.5584745763 | -0.0021186441 |      0 | 0.5588983051 | -0.0021186441 | 0.5584745763 | -0.0021186441 |      0 | NO
   56 | 0.5578389831 | -0.0021186441 | 0.5574152542 | -0.0021186441 |      0 | 0.5578389831 | -0.0021186441 | 0.5574152542 | -0.0021186441 |      0 | NO
   57 | 0.5567796610 | -0.0021186441 | 0.5563559322 | -0.0021186441 |      0 | 0.5567796610 | -0.0021186441 | 0.5563559322 | -0.0021186441 |      0 | NO
   58 | 0.5557203390 | -0.0021186441 | 0.5552966102 | -0.0021186441 |      0 | 0.5557203390 | -0.0021186441 | 0.5552966102 | -0.0021186441 |      0 | NO
   59 | 0.5546610169 | -0.0021186441 | 0.5542372881 | -0.0021186441 |      0 | 0.5546610169 | -0.0021186441 | 0.5542372881 | -0.0021186441 |      0 | NO
   60 | 0.5536016949 | -0.0021186441 | 0.5531779661 | -0.0021186441 |      0 | 0.5536016949 | -0.0021186441 | 0.5531779661 | -0.0021186441 |      0 | NO
   61 | 0.5525423729 | -0.0021186441 | 0.5521186441 | -0.0021186441 |      0 | 0.5525423729 | -0.0021186441 | 0.5521186441 | -0.0021186441 |      0 | NO
   62 | 0.5514830508 | -0.0021186441 | 0.5510593220 | -0.0021186441 |      0 | 0.5514830508 | -0.0021186441 | 0.5510593220 | -0.0021186441 |      0 | NO
   63 | 0.5504237288 | -0.0021186441 | 0.5500000000 | -0.0021186441 |      0 | 0.5504237288 | -0.0021186441 | 0.5500000000 | -0.0021186441 |      0 | NO
   64 | 0.5493644068 | -0.0021186441 | 0.5489406780 | -0.0021186441 |      0 | 0.5493644068 | -0.0021186441 | 0.5489406780 | -0.0021186441 |      0 | NO
   65 | 0.5483050847 | -0.0021186441 | 0.5478813559 | -0.0021186441 |      0 | 0.5483050847 | -0.0021186441 | 0.5478813559 | -0.0021186441 |      0 | NO
   66 | 0.5472457627 | -0.0021186441 | 0.5468220339 | -0.0021186441 |      0 | 0.5472457627 | -0.0021186441 | 0.5468220339 | -0.0021186441 |      0 | NO
   67 | 0.5461864407 | -0.0021186441 | 0.5457627119 | -0.0021186441 |      0 | 0.5461864407 | -0.0021186441 | 0.5457627119 | -0.0021186441 |      0 | NO
   68 | 0.5451271186 | -0.0021186441 | 0.5447033898 | -0.0021186441 |      0 | 0.5451271186 | -0.0021186441 | 0.5447033898 | -0.0021186441 |      0 | NO
   69 | 0.5440677966 | -0.0021186441 | 0.5436440678 | -0.0021186441 |      0 | 0.5440677966 | -0.0021186441 | 0.5436440678 | -0.0021186441 |      0 | NO
   70 | 0.5430084746 | -0.0021186441 | 0.5425847458 | -0.0021186441 |      0 | 0.5430084746 | -0.0021186441 | 0.5425847458 | -0.0021186441 |      0 | NO
   71 | 0.5419491525 | -0.0021186441 | 0.5415254237 | -0.0021186441 |      0 | 0.5419491525 | -0.0021186441 | 0.5415254237 | -0.0021186441 |      0 | NO
   72 | 0.5408898305 | -0.0021186441 | 0.5404661017 | -0.0021186441 |      0 | 0.5408898305 | -0.0021186441 | 0.5404661017 | -0.0021186441 |      0 | NO
   73 | 0.5398305085 | -0.0021186441 | 0.5394067797 | -0.0021186441 |      0 | 0.5398305085 | -0.0021186441 | 0.5394067797 | -0.0021186441 |      0 | NO
   74 | 0.5387711864 | -0.0021186441 | 0.5383474576 | -0.0021186441 |      0 | 0.5387711864 | -0.0021186441 | 0.5383474576 | -0.0021186441 |      0 | NO
   75 | 0.5377118644 | -0.0021186441 | 0.5372881356 | -0.0021186441 |      0 | 0.5377118644 | -0.0021186441 | 0.5372881356 | -0.0021186441 |      0 | NO
   76 | 0.5366525424 | -0.0021186441 | 0.5362288136 | -0.0021186441 |      0 | 0.5366525424 | -0.0021186441 | 0.5362288136 | -0.0021186441 |      0 | NO
